country	country_ID	country_2letter	country_number	country_original_name	wba_AG.SRF.TOTL.K2	wba_NY.GDP.MKTP.KD.ZG	wba_NY.GDP.PCAP.CD	wba_SH.DYN.NMRT	wba_SH.H2O.SAFE.UR.ZS	wba_SM.POP.REFG.OR	wba_SP.ADO.TFRT	wba_SP.POP.65UP.TO.ZS	wba_SP.POP.GROW	wba_SP.POP.TOTL	wba_SP.URB.TOTL.IN.ZS	ldu_Tetracycline	ldu_Amphenicols	ldu_Penicillins	ldu_1-2 gen. Cephalosporins	ldu_3-4 gen. Cephalosporins	ldu_Sulfonamides	ldu_Trimethoprim	ldu_Macrolides	ldu_Lincosamides	ldu_Fluoroquinolones	ldu_Other quinolones	ldu_Aminoglycosides	ldu_Polymyxins	ldu_Pleuromutilins	ldu_Others	atm_norm_import_pig	atm_norm_import_chick	atm_partners_dom_sows	atm_partners_dom_swine_less50kg	atm_partners_dom_swine_more50kg	atm_partners_parent_chick	atm_partners_pb_breeding_swine
Bulgaria	BGR	BG	100	Bulgaria	111000	1.54999999999997	7851.26542804234	5.9	99.6	1648	38.5874	19.7291103227358	-0.568389264052903	7223938	73.626	37.1029224904701	2.79542566709022	11.1817026683609	0.025412960609911	0.076238881829733	4.8284625158831	0.762388818297332	13.9771283354511	4.06607369758577	1.77890724269377	0	2.54129606099111	0.508259212198221	2.54129606099111	0.508259212198221	2.92132584531805	0.007647885125644	1	3	0	1	2
Denmark	DNK	DK	208	Denmark	43090	1.08841956497687	60707.2493654219	2.6	100	12	4.1192	18.4990735623216	0.437745717734919	5639565	87.502	12.9176499813688	0.455429967291848	11.509957355194	0.041402724299259	0.016561089719704	4.96832691591107	0.869457210284437	4.92692419161181	0.910859934583696	0.004140272429926	0.703846313087401	1.4076926261748	0.414027242992589	4.18167515422515	0.910859934583696	0	0.006050326816834	0	0	0	2	2
France	FRA	FR	250	France	549087	0.179566376852165	42732.5665028093	2.3	100	92	9.0482	18.6690889318142	0.425985399405988	66206930	79.289	43.1191887412568	0.828674962779853	12.9217112840248	0.252816090339616	0.280906767044018	20.1129245203517	3.1882918059496	8.06202421416332	0.589904210792438	0.646085564201242	0.814629624427652	7.61257338689289	7.06480519115705	0.898901654540858	0.575858872440237	2.53911475163448	0.00084177046344	0	4	2	6	4
Germany	DEU	DE	276	Germany	357170	1.59977039232734	47821.9174641231	2.2	100	176	6.9604	21.070280975949	0.301977923369119	80889505	75.094	41.4809226619116	0.582950414923531	57.3348878677731	0.057152001463091	0.422924810826875	13.8422147543607	1.73742084447797	12.424845118076	1.6916992433075	1.37164803511419	0	3.04048647783645	12.2076675125163	1.82886404681892	1.25734403218801	100.968992948899	0.003094892403386	5	12	10	6	7
Italy	ITA	IT	380	Italy	301340	-0.443878226180374	34908.5009745916	2.1	100	67	6.0838	22.0141920876075	1.81371421076964	61336387	68.821	97.4757379192437	4.72670588826872	116.131140946347	0.175994368180218	0.402272841554785	34.0171971639765	4.19872278372806	27.5305475939056	18.5045507115201	3.09247246945241	3.9724443103535	4.42500125710263	29.4162015386936	9.12656509277417	6.73807009604264	18.9828853220994	0.001194984600984	1	8	12	5	7
Netherlands	NLD	NL	528	Netherlands	41500	1.01112840751658	52172.1712345617	2.4	100	68	4.0888	17.7076918334221	0.295621410637362	16854183	89.91	24.0495024240878	1.3715233477928	15.7246746619035	0.031895891809135	0.003189589180914	12.9178361826997	2.39219188568512	8.9308497065578	0.12758356723654	0.12758356723654	1.08446032151059	0.6379178361827	0.478438377137025	0.350854809900485	0.159479459045675	10.3562193848872	0.034599782518783	3	10	8	7	8
Poland	POL	PL	616	Poland	312680	3.33404885709557	14342.9127072835	3.2	99.3	1310	13.664	15.018130255603	-0.117489522558284	37995529	60.568	44.1978193146417	2.21475856697819	41.3746105919003	0.267718068535826	0.170366043613707	10.2706386292835	0.997858255451713	11.1468068535826	0.778816199376947	9.02940031152648	0.073014018691589	7.88551401869159	5.0136292834891	6.44957165109034	0.973520249221184	133.752903627882	0.025005965658848	1	9	8	7	8
Spain	ESP	ES	724	Spain	505940	1.36077061211743	29767.3515599957	2.8	100	60	8.522	18.4415918160846	-0.463196350953176	46404602	79.355	147.37675036385	3.65969111641774	90.6727331816705	0.056520326122282	0.32499187520312	37.7697079312148	5.53899195998361	25.5471874072713	25.3776264289045	9.91931723446044	0.918455299487078	17.9452035438244	36.1023583106074	13.9181303076119	3.67382119794831	3.56219511593262	0.031985997172027	2	6	5	4	8
Belgium	BEL	BE	56	Belgium	30530	1.34836095620594	47352.9429059596	2.2	100	75	8.3764	18.0048461107743	0.378347065020028	11225207	97.818	36.7699642431466	0.953516090584029	48.7485101311085	0.059594755661502	0.476758045292014	38.3790226460072	7.68772348033373	10.9058402860548	2.86054827175209	1.13230035756853	0.953516090584029	0.595947556615018	3.3969010727056	0.65554231227652	4.70798569725864	NA	NA	NA	NA	NA	NA	NA
